epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,75.5036,1.2639,0.93475,1.0102,0.93942,0.89866,0.93063,0.6171,1.11424,0.80828,0.94309,0.000198071,0.000198071,0.000198071
81,76.408,1.11217,0.80702,0.92932,0.93942,0.89866,0.93063,0.6171,1.11424,0.80828,0.94309,0.000189072,0.000189072,0.000189072
82,77.3291,1.13356,0.86402,0.95191,0.94428,0.9,0.93213,0.62856,1.11562,0.77731,0.94153,0.000180073,0.000180073,0.000180073
83,78.2521,1.13978,0.84994,0.96162,0.94428,0.9,0.93213,0.62856,1.11562,0.77731,0.94153,0.000171074,0.000171074,0.000171074
84,79.1923,1.19896,0.86285,0.97244,0.95937,0.90992,0.94054,0.63027,1.11036,0.74207,0.94035,0.000162075,0.000162075,0.000162075
85,80.1171,1.14231,0.83306,0.94809,0.95937,0.90992,0.94054,0.63027,1.11036,0.74207,0.94035,0.000153076,0.000153076,0.000153076
86,81.0559,1.17298,0.83704,0.94916,0.96479,0.91635,0.93752,0.63183,1.1056,0.71516,0.94036,0.000144077,0.000144077,0.000144077
87,81.9849,1.2174,0.83155,0.94665,0.96479,0.91635,0.93752,0.63183,1.1056,0.71516,0.94036,0.000135077,0.000135077,0.000135077
88,82.9282,1.1323,0.83452,0.92756,0.9568,0.91429,0.93876,0.63541,1.09337,0.68773,0.93797,0.000126078,0.000126078,0.000126078
89,83.8547,1.15443,0.83677,0.95023,0.9568,0.91429,0.93876,0.63541,1.09337,0.68773,0.93797,0.000117079,0.000117079,0.000117079
90,84.7996,1.19827,0.87088,0.98298,0.95508,0.91429,0.94286,0.63824,1.08518,0.66916,0.93712,0.00010808,0.00010808,0.00010808
91,86.7633,1.1391,0.84358,0.95956,0.95508,0.91429,0.94286,0.63824,1.08518,0.66916,0.93712,9.9081e-05,9.9081e-05,9.9081e-05
92,87.7283,1.12248,0.84637,0.96339,0.95164,0.91429,0.94399,0.63546,1.085,0.66008,0.93721,9.00819e-05,9.00819e-05,9.00819e-05
93,88.6357,1.09755,0.81465,0.95895,0.95164,0.91429,0.94399,0.63546,1.085,0.66008,0.93721,8.10828e-05,8.10828e-05,8.10828e-05
94,89.5583,1.12134,0.81658,1.00067,0.95511,0.91429,0.93787,0.63064,1.09351,0.65554,0.94034,7.20837e-05,7.20837e-05,7.20837e-05
95,90.4639,1.12985,0.81692,0.9995,0.95511,0.91429,0.93787,0.63064,1.09351,0.65554,0.94034,6.30846e-05,6.30846e-05,6.30846e-05
96,91.386,1.12318,0.80752,0.96277,0.95396,0.91663,0.9419,0.63197,1.09828,0.65109,0.94217,5.40855e-05,5.40855e-05,5.40855e-05
97,92.2952,1.13769,0.84615,0.97227,0.95396,0.91663,0.9419,0.63197,1.09828,0.65109,0.94217,4.50864e-05,4.50864e-05,4.50864e-05
98,93.219,1.13788,0.82078,0.96675,0.95619,0.91553,0.94182,0.6274,1.0977,0.64448,0.94253,3.60873e-05,3.60873e-05,3.60873e-05
99,94.1333,1.13101,0.80014,0.97926,0.95619,0.91553,0.94182,0.6274,1.0977,0.64448,0.94253,2.70882e-05,2.70882e-05,2.70882e-05
100,95.0558,1.18496,0.84804,1.01252,0.94821,0.92708,0.94212,0.6294,1.09545,0.63473,0.94204,1.80891e-05,1.80891e-05,1.80891e-05
